DIA,LONG,LAT,HORA,T(°C) ,Ur (%),ALT (m),V(km/h),Unnamed: 8,LONG,LAT,ALT (m),PONTOS,Unnamed: 4,COB. PAIS (%),COB. ARB.(%),SOLO EXP.(%),A. PAV.(%),A. EDF. (%),ÁGUA(%)
2011-06-21,609191,8268691,19:42:53,28.333673482234975,51.267159373639196,187 m,0 km/h,P1,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,609191,8268691,19:43:03,28.333673482234975,51.46224582648641,188 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,609191,8268691,19:43:13,28.435215494537093,51.46224582648641,188 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,609191,8268691,19:43:23,28.435215494537093,51.267159373639196,188 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,609191,8268691,19:43:33,28.435215494537093,51.267159373639196,188 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,609191,8268691,19:43:43,28.435215494537093,51.267159373639196,188 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,609191,8268691,19:43:53,28.536757506839212,51.16961614721559,188 m,20 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,609139,8268712,19:44:03,28.536757506839212,51.07207292079198,189 m,31 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,609059,8268746,19:44:13,28.536757506839212,50.87698646794478,190 m,26 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608992,8268774,19:44:23,28.536757506839212,50.974529694368385,190 m,35 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608903,8268812,19:44:33,28.536757506839212,51.16961614721559,190 m,34 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608815,8268848,19:44:43,28.638299519141334,51.46224582648641,191 m,35 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608727,8268886,19:44:53,28.638299519141334,51.46224582648641,191 m,35 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608637,8268926,19:45:03,28.638299519141334,51.46224582648641,192 m,33 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608552,8268963,19:45:13,28.638299519141334,51.267159373639196,192 m,35 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608464,8269002,19:45:23,28.638299519141334,51.07207292079198,193 m,33 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608380,8269040,19:45:33,28.638299519141334,50.87698646794478,192 m,33 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608296,8269079,19:45:43,28.536757506839212,50.87698646794478,192 m,34 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608210,8269118,19:45:53,28.536757506839212,51.07207292079198,192 m,35 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2011-06-21,608119,8269155,19:46:03,28.536757506839212,51.16961614721559,191 m,35 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2011-06-21,608030,8269191,19:46:13,28.435215494537093,50.974529694368385,191 m,35 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2011-06-21,607941,8269230,19:46:23,28.435215494537093,50.974529694368385,192 m,36 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2011-06-21,607849,8269269,19:46:33,28.435215494537093,51.267159373639196,191 m,35 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2011-06-21,607760,8269307,19:46:43,28.333673482234975,51.75487550575722,190 m,36 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,607669,8269346,19:46:53,28.333673482234975,52.24259163787524,190 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,607579,8269384,19:47:03,28.333673482234975,53.022937449264084,191 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,607491,8269422,19:47:13,28.232131469932852,53.2180239021113,191 m,36 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,607400,8269461,19:47:23,28.232131469932852,53.803283260652925,192 m,38 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,607303,8269502,19:47:33,28.130589457630737,53.900826487076536,196 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,607216,8269539,19:47:43,28.130589457630737,53.022937449264084,199 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,607126,8269578,19:47:53,28.029047445328615,52.14504841145164,202 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,607037,8269616,19:48:03,28.029047445328615,52.14504841145164,200 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606954,8269652,19:48:13,28.029047445328615,52.730307769993274,197 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606870,8269687,19:48:23,27.9275054330265,52.82785099641688,194 m,29 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606796,8269719,19:48:33,27.9275054330265,53.51065358138211,192 m,10 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606770,8269730,19:48:43,27.9275054330265,53.900826487076536,191 m,0 km/h,P2,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606770,8269730,19:48:53,27.825963420724378,54.486085845618156,191 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606770,8269730,19:49:03,27.825963420724378,54.486085845618156,191 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606770,8269730,19:49:13,27.724421408422256,54.68117229846537,192 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606770,8269730,19:49:23,27.724421408422256,54.77871552488897,192 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606770,8269730,19:49:33,27.62287939612014,54.876258751312584,191 m,2 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606765,8269733,19:49:43,27.521337383818018,55.266431657007004,192 m,29 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606691,8269764,19:49:53,27.521337383818018,55.36397488343061,193 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606608,8269800,19:50:03,27.419795371515903,54.97380197773618,193 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606522,8269839,19:50:13,27.419795371515903,54.97380197773618,194 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606437,8269877,19:50:23,27.31825335921378,54.68117229846537,194 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606352,8269915,19:50:33,27.31825335921378,54.58362907204177,194 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606267,8269953,19:50:43,27.31825335921378,55.07134520415979,194 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606182,8269991,19:50:53,27.31825335921378,54.876258751312584,193 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606097,8270031,19:51:03,27.31825335921378,54.77871552488897,193 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,606010,8270068,19:51:13,27.31825335921378,54.876258751312584,192 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605924,8270103,19:51:23,27.31825335921378,55.168888430583394,192 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605836,8270136,19:51:33,27.31825335921378,55.461518109854204,191 m,36 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605743,8270172,19:51:43,27.31825335921378,56.43695037409026,191 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605654,8270209,19:51:53,27.31825335921378,55.85169101554863,190 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605564,8270246,19:52:03,27.31825335921378,55.85169101554863,187 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605477,8270283,19:52:13,27.419795371515903,56.14432069481944,185 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605387,8270320,19:52:23,27.419795371515903,57.119752959055496,181 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605302,8270356,19:52:33,27.419795371515903,57.60746909117352,178 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605216,8270392,19:52:43,27.419795371515903,57.997641996867934,176 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605128,8270430,19:52:53,27.419795371515903,58.29027167613876,175 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,605045,8270473,19:53:03,27.419795371515903,58.58290135540957,175 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604960,8270513,19:53:13,27.419795371515903,58.485358128985965,174 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604876,8270548,19:53:23,27.419795371515903,58.58290135540957,173 m,36 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604782,8270580,19:53:33,27.419795371515903,58.87553103468038,169 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604698,8270612,19:53:43,27.419795371515903,59.265703940374806,167 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604610,8270653,19:53:53,27.31825335921378,59.46079039322201,167 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604529,8270693,19:54:03,27.31825335921378,60.04604975176364,168 m,30 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604469,8270749,19:54:13,27.216711346911662,59.948506525340036,170 m,24 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604430,8270803,19:54:23,27.216711346911662,59.46079039322201,173 m,20 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604377,8270789,19:54:33,27.115169334609543,59.1681607139512,174 m,28 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604326,8270730,19:54:43,27.115169334609543,58.97307426110399,171 m,30 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604249,8270700,19:54:53,27.115169334609543,59.07061748752759,170 m,30 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604166,8270693,19:55:03,27.01362732230742,58.87553103468038,170 m,31 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,604080,8270686,19:55:13,27.01362732230742,58.485358128985965,170 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603989,8270679,19:55:23,27.115169334609543,58.19272844971515,170 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603899,8270671,19:55:33,27.115169334609543,58.19272844971515,169 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603808,8270664,19:55:43,27.115169334609543,58.29027167613876,168 m,31 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603724,8270657,19:55:53,27.115169334609543,58.19272844971515,167 m,24 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603658,8270654,19:56:03,27.216711346911662,58.58290135540957,167 m,17 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603612,8270653,19:56:13,27.216711346911662,59.265703940374806,166 m,9 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603588,8270652,19:56:23,27.216711346911662,59.3632471667984,165 m,0 km/h,P3,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603588,8270652,19:56:33,27.216711346911662,59.07061748752759,165 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603588,8270652,19:56:43,27.216711346911662,58.97307426110399,165 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603588,8270652,19:56:53,27.216711346911662,58.77798780825678,165 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603588,8270652,19:57:03,27.216711346911662,58.68044458183317,166 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603588,8270652,19:57:13,27.115169334609543,58.68044458183317,166 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603588,8270652,19:57:23,27.115169334609543,58.68044458183317,166 m,12 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603554,8270649,19:57:33,27.115169334609543,58.68044458183317,167 m,31 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603468,8270640,19:57:43,27.115169334609543,59.1681607139512,167 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603371,8270632,19:57:53,27.115169334609543,59.75342007249283,168 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603278,8270627,19:58:03,27.115169334609543,60.04604975176364,165 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603185,8270630,19:58:13,27.01362732230742,60.241136204610854,165 m,32 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603102,8270660,19:58:23,27.01362732230742,60.82639556315248,165 m,32 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,603021,8270695,19:58:33,27.01362732230742,60.72885233672888,165 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602939,8270742,19:58:43,26.912085310005306,60.631309110305274,167 m,32 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602867,8270794,19:58:53,26.912085310005306,60.631309110305274,168 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602790,8270849,19:59:03,26.912085310005306,60.43622265745806,167 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602713,8270904,19:59:13,26.810543297703184,60.241136204610854,166 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602634,8270961,19:59:23,26.810543297703184,60.04604975176364,165 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602555,8271018,19:59:33,26.810543297703184,60.04604975176364,164 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602481,8271070,19:59:43,26.912085310005306,60.14359297818725,161 m,32 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602410,8271124,19:59:53,26.912085310005306,60.43622265745806,160 m,30 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602343,8271174,20:00:03,26.912085310005306,61.021482015999695,158 m,12 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602318,8271193,20:00:13,27.01362732230742,61.1190252424233,158 m,2 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602313,8271196,20:00:23,27.01362732230742,61.41165492169411,158 m,18 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602273,8271224,20:00:33,27.01362732230742,61.41165492169411,158 m,26 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602211,8271261,20:00:43,26.912085310005306,61.41165492169411,158 m,32 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602133,8271306,20:00:53,26.912085310005306,61.41165492169411,157 m,27 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602073,8271348,20:01:03,26.912085310005306,61.50919814811772,157 m,23 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,602021,8271385,20:01:13,26.912085310005306,61.50919814811772,157 m,32 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601949,8271436,20:01:23,26.912085310005306,61.80182782738853,158 m,22 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601899,8271471,20:01:33,27.01362732230742,64.24040848797866,156 m,22 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601849,8271507,20:01:43,27.01362732230742,64.63058139367308,157 m,32 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601778,8271557,20:01:53,27.01362732230742,64.53303816724947,157 m,31 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601708,8271606,20:02:03,27.01362732230742,64.43549494082586,157 m,32 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601637,8271657,20:02:13,27.01362732230742,64.14286526155504,157 m,31 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601566,8271709,20:02:23,27.01362732230742,63.752692355860624,158 m,31 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601497,8271760,20:02:33,27.01362732230742,63.94777880870784,158 m,29 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601434,8271807,20:02:43,27.01362732230742,64.14286526155504,157 m,6 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601420,8271818,20:02:53,27.01362732230742,63.94777880870784,157 m,8 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601402,8271830,20:03:03,27.01362732230742,63.65514912943703,157 m,24 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601346,8271867,20:03:13,27.01362732230742,63.65514912943703,158 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601268,8271919,20:03:23,27.01362732230742,63.850235582284235,158 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601189,8271971,20:03:33,27.01362732230742,64.24040848797866,158 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601113,8272024,20:03:43,27.01362732230742,63.850235582284235,158 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,601036,8272080,20:03:53,27.01362732230742,63.752692355860624,157 m,33 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,600962,8272133,20:04:03,27.01362732230742,64.14286526155504,156 m,34 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,600886,8272188,20:04:13,27.01362732230742,64.63058139367308,154 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,600809,8272246,20:04:23,27.01362732230742,65.0207542993675,153 m,35 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,600734,8272304,20:04:33,27.01362732230742,65.60601365790913,153 m,28 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,600672,8272352,20:04:43,26.912085310005306,65.31338397863831,152 m,16 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,600636,8272380,20:04:53,26.912085310005306,65.70355688433273,153 m,5 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,600625,8272389,20:05:03,26.810543297703184,66.58144592214518,153 m,0 km/h,P4,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-06-21,600625,8272389,20:05:13,26.709001285401065,66.28881624287436,153 m,0 km/h,,607759,8269309,,P1.8,,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
